Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Segment,City,Region,Sales_Rep,Channel,Category,Product_Name,Quantity,Unit_Price,Discount_%,Line_Total,COGS,Status,Customer_Rating,Return_Flag
ORD-10584,9/25/2022,10/2/2022,CID-4662,Retail,Lagos,West,Mia Scott,Wholesale,Clothing,Formal Dress,5,131.82,15,560.23,352.25,Returned,2,1
ORD-12141,2/13/2022,2/16/2022,CID-1019,VIP,Port Harcourt,North,Karen Davis,Phone Order,Beauty,Lipstick Set,10,43.15,15,366.77,219.68,Pending,5,0
ORD-13019,6/3/2022,6/8/2022,CID-1271,B2B,Casablanca,Central,Alice Johnson,Mobile App,Sports,Gym Bag,3,72.08,5,205.43,112.86,Completed,1,0
ORD-12689,7/28/2023,NULL,CID-3622,New Customer,Cairo,East,Olivia Clark,Wholesale,Beauty,Face Mask Pack,7,18.75,0,131.25,87.45,Completed,4,0
ORD-10903,7/20/2022,7/25/2022,CID-4136,Retail,Ibadan,South,Emma Brown,Mobile App,Electronics,Webcam HD,4,85.86,25,257.58,187.28,Completed,NULL,0
ORD-12193,6/1/2024,6/4/2024,CID-1793,New Customer,Cairo,South,Liam Moore,Online,Clothing,Sports Socks 3pk,NULL,13.85,0,110.8,70.39,Pending,NULL,0
ORD-11404,9/1/2024,9/15/2024,CID-3761,Retail,Kaduna,East,Carol White,Online,Clothing,Casual Sneakers,5,72.53,20,290.12,169.5,Completed,5,0
ORD-10874,8/19/2024,8/24/2024,CID-1422,Loyalty Member,Cairo,North,Alice Johnson,Wholesale,Clothing,Men's Polo Shirt,4,39.28,30,109.98,84.89,Returned,4,1
ORD-15718,1/28/2023,NULL,CID-3357,B2B,Port Harcourt,North,Bob Smith,Wholesale,Clothing,Sports Socks 3pk,9,13.02,0,117.18,55.96,Completed,NULL,0
ORD-14790,2/3/2022,2/17/2022,CID-3438,VIP,Accra,Central,Bob Smith,Phone Order,Sports,Jump Rope,5,13.76,15,58.48,32.52,Completed,NULL,0
ORD-10925,11/11/2024,11/18/2024,CID-3760,B2B,Cairo,South,James Turner,In-Store,Beauty,Face Serum,4,54.28,30,151.98,99.53,Completed,NULL,0
ORD-14120,12/9/2022,12/10/2022,CID-4507,VIP,Kano,Central,Iris Park,Online,Beauty,Shampoo & Conditioner,1,30.15,20,24.12,19.02,Returned,2,1
ORD-10971,7/2/2023,7/9/2023,CID-4198,VIP,Johannesburg,West,Emma Brown,Mobile App,Clothing,Sports Socks 3pk,4,14.18,15,48.21,29.66,Pending,NULL,0
ORD-10422,9/2/2023,NULL,CID-3827,VIP,Benin City,East,Liam Moore,IN-STORE,Sports,Swim Goggles,4,26.14,5,99.33,54.85,Returned,5,1
ORD-12560,11/27/2023,11/29/2023,CID-1860,VIP,Cairo,South,Mia Scott,Mobile App,Clothing,Winter Jacket,10,154.66,0,1546.6,837.66,Completed,2,0
ORD-10593,5/14/2024,NULL,CID-1937,Retail,Abuja,South,Henry Wilson,Online,Sports,Swim Goggles,1,29.64,0,29.64,19.39,Completed,5,0
